Year,Team,StarPresence
2011,Atlanta Hawks,1
2011,Boston Celtics,0
2011,Brooklyn Nets,0
2011,Charlotte Hornets,0
2011,Chicago Bulls,1
2011,Cleveland Cavaliers,0
2011,Dallas Mavericks,1
2011,Denver Nuggets,0
2011,Detroit Pistons,0
2011,Golden State Warriors,0
2011,Houston Rockets,0
2011,Indiana Pacers,0
2011,Los Angeles Clippers,0
2011,Los Angeles Lakers,1
2011,Memphis Grizzlies,1
2011,Miami Heat,1
2011,Milwaukee Bucks,0
2011,Minnesota Timberwolves,0
2011,New Orleans Pelicans,1
2011,New York Knicks,1
2011,Oklahoma City Thunder,1
2011,Orlando Magic,1
2011,Philadelphia 76ers,0
2011,Phoenix Suns,0
2011,Portland Trail Blazers,1
2011,Sacramento Kings,0
2011,San Antonio Spurs,1
2011,Toronto Raptors,0
2011,Utah Jazz,0
2011,Washington Wizards,0
2012,Atlanta Hawks,0
2012,Boston Celtics,1
2012,Brooklyn Nets,0
2012,Charlotte Hornets,0
2012,Chicago Bulls,0
2012,Cleveland Cavaliers,0
2012,Dallas Mavericks,1
2012,Denver Nuggets,0
2012,Detroit Pistons,0
2012,Golden State Warriors,0
2012,Houston Rockets,0
2012,Indiana Pacers,0
2012,Los Angeles Clippers,1
2012,Los Angeles Lakers,1
2012,Memphis Grizzlies,0
2012,Miami Heat,1
2012,Milwaukee Bucks,0
2012,Minnesota Timberwolves,1
2012,New Orleans Pelicans,0
2012,New York Knicks,1
2012,Oklahoma City Thunder,1
2012,Orlando Magic,1
2012,Philadelphia 76ers,0
2012,Phoenix Suns,0
2012,Portland Trail Blazers,0
2012,Sacramento Kings,0
2012,San Antonio Spurs,1
2012,Toronto Raptors,0
2012,Utah Jazz,0
2012,Washington Wizards,0
2013,Atlanta Hawks,0
2013,Boston Celtics,0
2013,Brooklyn Nets,0
2013,Charlotte Hornets,0
2013,Chicago Bulls,0
2013,Cleveland Cavaliers,0
2013,Dallas Mavericks,0
2013,Denver Nuggets,0
2013,Detroit Pistons,0
2013,Golden State Warriors,1
2013,Houston Rockets,1
2013,Indiana Pacers,1
2013,Los Angeles Clippers,1
2013,Los Angeles Lakers,1
2013,Memphis Grizzlies,1
2013,Miami Heat,1
2013,Milwaukee Bucks,0
2013,Minnesota Timberwolves,0
2013,New Orleans Pelicans,0
2013,New York Knicks,1
2013,Oklahoma City Thunder,1
2013,Orlando Magic,0
2013,Philadelphia 76ers,0
2013,Phoenix Suns,0
2013,Portland Trail Blazers,0
2013,Sacramento Kings,0
2013,San Antonio Spurs,1
2013,Toronto Raptors,0
2013,Utah Jazz,0
2013,Washington Wizards,0
2014,Atlanta Hawks,0
2014,Boston Celtics,0
2014,Brooklyn Nets,0
2014,Charlotte Hornets,1
2014,Chicago Bulls,1
2014,Cleveland Cavaliers,0
2014,Dallas Mavericks,0
2014,Denver Nuggets,0
2014,Detroit Pistons,0
2014,Golden State Warriors,1
2014,Houston Rockets,1
2014,Indiana Pacers,1
2014,Los Angeles Clippers,1
2014,Los Angeles Lakers,0
2014,Memphis Grizzlies,0
2014,Miami Heat,1
2014,Milwaukee Bucks,0
2014,Minnesota Timberwolves,1
2014,New Orleans Pelicans,0
2014,New York Knicks,0
2014,Oklahoma City Thunder,1
2014,Orlando Magic,0
2014,Philadelphia 76ers,0
2014,Phoenix Suns,1
2014,Portland Trail Blazers,1
2014,Sacramento Kings,0
2014,San Antonio Spurs,0
2014,Toronto Raptors,0
2014,Utah Jazz,0
2014,Washington Wizards,0
2015,Atlanta Hawks,1
2015,Boston Celtics,0
2015,Brooklyn Nets,0
2015,Charlotte Hornets,0
2015,Chicago Bulls,0
2015,Cleveland Cavaliers,1
2015,Dallas Mavericks,0
2015,Denver Nuggets,0
2015,Detroit Pistons,0
2015,Golden State Warriors,1
2015,Houston Rockets,1
2015,Indiana Pacers,0
2015,Los Angeles Clippers,1
2015,Los Angeles Lakers,0
2015,Memphis Grizzlies,1
2015,Miami Heat,0
2015,Milwaukee Bucks,0
2015,Minnesota Timberwolves,0
2015,New Orleans Pelicans,1
2015,New York Knicks,0
2015,Oklahoma City Thunder,1
2015,Orlando Magic,0
2015,Philadelphia 76ers,0
2015,Phoenix Suns,0
2015,Portland Trail Blazers,1
2015,Sacramento Kings,1
2015,San Antonio Spurs,1
2015,Toronto Raptors,0
2015,Utah Jazz,0
2015,Washington Wizards,0
2016,Atlanta Hawks,0
